address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
0 Block of SPOFFORD LN,DRUG/NARCOTIC,2017-11-06T00:00:00.000,Monday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,170906790,"{u'type': u'Point', u'coordinates': [-122.407321394, 37.7945862444]}",CENTRAL,17090679016662,JUVENILE BOOKED,17:06,-122.40732139433702,37.79458624443584
200 Block of JEFFERSON ST,TRESPASS,2017-02-20T00:00:00.000,Monday,TRESPASSING,170145067,"{u'type': u'Point', u'coordinates': [-122.416650482, 37.8081660534]}",CENTRAL,17014506727195,NONE,06:42,-122.41665048206421,37.80816605335633
1300 Block of GRANT AV,NON-CRIMINAL,2018-03-21T00:00:00.000,Wednesday,FOUND PROPERTY,180212822,"{u'type': u'Point', u'coordinates': [-122.407234294, 37.7992576493]}",CENTRAL,18021282272000,NONE,14:45,-122.40723429412022,37.79925764925888
400 Block of GEARY ST,ASSAULT,2018-03-28T00:00:00.000,Wednesday,BATTERY,180230197,"{u'type': u'Point', u'coordinates': [-122.410721626, 37.7870966496]}",CENTRAL,18023019704134,NONE,10:50,-122.41072162586977,37.78709664956634
500 Block of BEACH ST,ASSAULT,2010-10-16T00:00:00.000,Saturday,BATTERY,100966093,"{u'type': u'Point', u'coordinates': [-122.418111097, 37.8070199999]}",CENTRAL,10096609304134,NONE,00:58,-122.418111096758,37.8070199998601
2400 Block of LEAVENWORTH ST,OTHER OFFENSES,2015-08-20T00:00:00.000,Thursday,CONSPIRACY,150728263,"{u'type': u'Point', u'coordinates': [-122.41813515, 37.8034015647]}",CENTRAL,15072826326080,"ARREST, BOOKED",16:20,-122.418135149945,37.8034015647462
300 Block of GEARY ST,FRAUD,2013-07-29T00:00:00.000,Monday,DEFRAUDING AN INNKEEPER,130624590,"{u'type': u'Point', u'coordinates': [-122.409055191, 37.7871979591]}",CENTRAL,13062459027010,NONE,13:00,-122.409055191364,37.7871979591062
1000 Block of SUTTER ST,LARCENY/THEFT,2015-07-25T00:00:00.000,Saturday,PETTY THEFT FROM A BUILDING,150647754,"{u'type': u'Point', u'coordinates': [-122.417650682, 37.7880158477]}",CENTRAL,15064775406301,NONE,15:45,-122.417650682357,37.7880158477339
500 Block of COLUMBUS AV,FRAUD,2015-09-05T00:00:00.000,Saturday,DEFRAUDING AN INNKEEPER,150779761,"{u'type': u'Point', u'coordinates': [-122.409576373, 37.7999519604]}",CENTRAL,15077976127010,"ARREST, BOOKED",11:30,-122.409576373262,37.7999519603954
200 Block of BUSH ST,DRUG/NARCOTIC,2015-08-27T00:00:00.000,Thursday,POSSESSION OF NARCOTICS PARAPHERNALIA,150751850,"{u'type': u'Point', u'coordinates': [-122.40158838, 37.7910139283]}",CENTRAL,15075185016710,"ARREST, BOOKED",17:44,-122.401588379991,37.7910139283214
900 Block of GRANT AV,BURGLARY,2015-08-11T00:00:00.000,Tuesday,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",150701764,"{u'type': u'Point', u'coordinates': [-122.406634004, 37.7955844057]}",CENTRAL,15070176405151,NONE,19:00,-122.4066340037,37.7955844057067
1000 Block of BROADWAY ST,NON-CRIMINAL,2013-05-26T00:00:00.000,Sunday,"AIDED CASE, MENTAL DISTURBED",130432763,"{u'type': u'Point', u'coordinates': [-122.414836568, 37.7967928287]}",CENTRAL,13043276364020,PSYCHOPATHIC CASE,02:20,-122.414836568422,37.7967928286556
1300 Block of COLUMBUS AV,TRESPASS,2015-08-04T00:00:00.000,Tuesday,TRESPASSING,150681241,"{u'type': u'Point', u'coordinates': [-122.418537075, 37.8061515936]}",CENTRAL,15068124127195,NONE,14:00,-122.418537074676,37.8061515935611
300 Block of THE EMBARCADERONORTH ST,LARCENY/THEFT,2015-09-03T00:00:00.000,Thursday,GRAND THEFT FROM A BUILDING,150774959,"{u'type': u'Point', u'coordinates': [-122.396374439, 37.7980532528]}",CENTRAL,15077495906304,NONE,21:00,-122.396374439116,37.7980532528058
300 Block of BAY ST,ROBBERY,2015-07-30T00:00:00.000,Thursday,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,150662677,"{u'type': u'Point', u'coordinates': [-122.412803753, 37.8057739876]}",CENTRAL,15066267703044,JUVENILE BOOKED,12:15,-122.412803753,37.8057739875696
700 Block of SUTTER ST,BURGLARY,2013-07-13T00:00:00.000,Saturday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",130575777,"{u'type': u'Point', u'coordinates': [-122.412718545, 37.7886466256]}",CENTRAL,13057577705013,NONE,02:00,-122.412718544555,37.7886466255672
400 Block of STOCKTON ST,LARCENY/THEFT,2013-08-01T00:00:00.000,Thursday,GRAND THEFT FROM LOCKED AUTO,130633955,"{u'type': u'Point', u'coordinates': [-122.406977564, 37.7899181017]}",CENTRAL,13063395506244,NONE,11:00,-122.406977563692,37.789918101686
500 Block of COLUMBUS AV,LARCENY/THEFT,2013-06-27T00:00:00.000,Thursday,GRAND THEFT PICKPOCKET,130527900,"{u'type': u'Point', u'coordinates': [-122.409667413, 37.7998691996]}",CENTRAL,13052790006113,NONE,15:00,-122.409667412997,37.7998691995985
1400 Block of STOCKTON ST,NON-CRIMINAL,2013-06-03T00:00:00.000,Monday,CASE CLOSURE,130459074,"{u'type': u'Point', u'coordinates': [-122.408928385, 37.7987939626]}",CENTRAL,13045907475030,COMPLAINANT REFUSES TO PROSECUTE,21:45,-122.408928385229,37.7987939625895
1500 Block of POWELL ST,RECOVERED VEHICLE,2015-06-09T00:00:00.000,Tuesday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,150502227,"{u'type': u'Point', u'coordinates': [-122.410483673, 37.7988554029]}",CENTRAL,15050222707055,NONE,00:54,-122.410483673283,37.7988554028895
