address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
STANYAN ST / HAYES ST,ROBBERY,2016-06-12T00:00:00.000,Sunday,"ROBBERY, BODILY FORCE",160478163,"{u'type': u'Point', u'coordinates': [-122.45428669, 37.7728951613]}",PARK,16047816303074,NONE,17:01,-122.45428669026535,37.77289516134054
300 Block of UPPER TR,NON-CRIMINAL,2014-10-03T00:00:00.000,Friday,CASE CLOSURE,140869316,"{u'type': u'Point', u'coordinates': [-122.44614671, 37.7627977069]}",PARK,14086931675030,NONE,12:00,-122.446146709683,37.7627977069186
1600 Block of GROVE ST,OTHER OFFENSES,2015-08-10T00:00:00.000,Monday,MISCELLANEOUS INVESTIGATION,150697953,"{u'type': u'Point', u'coordinates': [-122.4437959, 37.7752430362]}",PARK,15069795368020,NONE,23:08,-122.443795899939,37.7752430361844
0 Block of CRESTLINE DR,LARCENY/THEFT,2013-06-08T00:00:00.000,Saturday,GRAND THEFT FROM A BUILDING,130474367,"{u'type': u'Point', u'coordinates': [-122.446483988, 37.7501301863]}",PARK,13047436706304,NONE,13:55,-122.446483988175,37.7501301863303
PAGE ST / SCOTT ST,ASSAULT,2015-08-27T00:00:00.000,Thursday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,150750432,"{u'type': u'Point', u'coordinates': [-122.435566189, 37.7724156609]}",PARK,15075043204013,NONE,11:14,-122.435566188652,37.7724156608806
TURK ST / BRODERICK ST,NON-CRIMINAL,2015-06-27T00:00:00.000,Saturday,"AIDED CASE, MENTAL DISTURBED",150561530,"{u'type': u'Point', u'coordinates': [-122.440397168, 37.7794370482]}",PARK,15056153064020,NONE,23:16,-122.440397167704,37.7794370481962
0 Block of IDORA AV,MISSING PERSON,2016-04-06T00:00:00.000,Wednesday,FOUND PERSON,160284885,"{u'type': u'Point', u'coordinates': [-122.455388992, 37.7449305956]}",PARK,16028488575000,NONE,11:30,-122.45538899241951,37.744930595572946
400 Block of PARNASSUS AV,ASSAULT,2013-07-14T00:00:00.000,Sunday,AGGRAVATED ASSAULT WITH A KNIFE,130580146,"{u'type': u'Point', u'coordinates': [-122.458220812, 37.7633123961]}",PARK,13058014604012,"ARREST, CITED",23:20,-122.458220811697,37.7633123961354
100 Block of BELVEDERE ST,MISSING PERSON,2013-05-03T00:00:00.000,Friday,FOUND PERSON,130363798,"{u'type': u'Point', u'coordinates': [-122.449328648, 37.7677738875]}",PARK,13036379875000,LOCATED,07:30,-122.449328648219,37.7677738874748
5TH AV / IRVING ST,OTHER OFFENSES,2013-08-07T00:00:00.000,Wednesday,PROBATION VIOLATION,130650272,"{u'type': u'Point', u'coordinates': [-122.462030868, 37.7642235224]}",PARK,13065027226170,"ARREST, BOOKED",02:50,-122.462030867907,37.7642235223886
