address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
5400 Block of CALIFORNIA ST,VEHICLE THEFT,2015-08-29T00:00:00.000,Saturday,ATTEMPTED STOLEN VEHICLE,150757654,"{u'type': u'Point', u'coordinates': [-122.47591794, 37.7843496645]}",RICHMOND,15075765407051,NONE,13:51,-122.475917940378,37.7843496645156
1000 Block of POINTLOBOS AV,SUSPICIOUS OCC,2018-03-28T00:00:00.000,Wednesday,SUSPICIOUS OCCURRENCE,180233204,"{u'type': u'Point', u'coordinates': [-122.513642064, 37.7784692199]}",RICHMOND,18023320464070,NONE,17:46,-122.51364206426544,37.778469219946714
3700 Block of GEARY BL,NON-CRIMINAL,2016-02-26T00:00:00.000,Friday,COURTESY REPORT,160291567,"{u'type': u'Point', u'coordinates': [-122.459451691, 37.7813626133]}",RICHMOND,16029156768030,UNFOUNDED,15:00,-122.45945169075038,37.78136261325522
400 Block of 17TH AV,MISSING PERSON,2012-08-09T00:00:00.000,Thursday,FOUND PERSON,120629425,"{u'type': u'Point', u'coordinates': [-122.476164933, 37.7794931498]}",RICHMOND,12062942575000,LOCATED,01:30,-122.476164932773,37.779493149815
500 Block of 19TH AV,DRUG/NARCOTIC,2015-06-24T00:00:00.000,Wednesday,POSSESSION OF MARIJUANA FOR SALES,150550254,"{u'type': u'Point', u'coordinates': [-122.478167535, 37.7775051429]}",RICHMOND,15055025416030,"ARREST, BOOKED",14:00,-122.47816753469,37.777505142892
3000 Block of CALIFORNIA ST,VANDALISM,2015-08-22T00:00:00.000,Saturday,"MALICIOUS MISCHIEF, VANDALISM",150734276,"{u'type': u'Point', u'coordinates': [-122.444604466, 37.7875949239]}",RICHMOND,15073427628150,"ARREST, BOOKED",05:26,-122.44460446581,37.7875949238669
2900 Block of LAKE ST,OTHER OFFENSES,2015-06-05T00:00:00.000,Friday,FALSE PERSONATION,150641825,"{u'type': u'Point', u'coordinates': [-122.491873163, 37.7853392801]}",RICHMOND,15064182509027,UNFOUNDED,12:00,-122.491873163199,37.7853392800563
400 Block of EUCLID AV,NON-CRIMINAL,2013-05-03T00:00:00.000,Friday,FOUND PROPERTY,130361366,"{u'type': u'Point', u'coordinates': [-122.453201555, 37.7840050502]}",RICHMOND,13036136672000,NONE,07:45,-122.453201554574,37.7840050502083
GEARY BL / 10TH AV,SUSPICIOUS OCC,2013-06-23T00:00:00.000,Sunday,SUSPICIOUS OCCURRENCE,130515024,"{u'type': u'Point', u'coordinates': [-122.468564162, 37.7808215195]}",RICHMOND,13051502464070,NONE,07:45,-122.46856416247,37.780821519541
800 Block of 48TH AV,LARCENY/THEFT,2013-05-08T00:00:00.000,Wednesday,GRAND THEFT FROM A BUILDING,130381938,"{u'type': u'Point', u'coordinates': [-122.508820145, 37.7723625255]}",RICHMOND,13038193806304,NONE,18:00,-122.508820145171,37.772362525475
2300 Block of LAKE ST,LARCENY/THEFT,2013-05-01T00:00:00.000,Wednesday,GRAND THEFT FROM A BUILDING,130359565,"{u'type': u'Point', u'coordinates': [-122.484628071, 37.7858246424]}",RICHMOND,13035956506304,NONE,07:30,-122.484628070779,37.7858246424077
POST ST / BRODERICK ST,VANDALISM,2013-06-14T00:00:00.000,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",130492159,"{u'type': u'Point', u'coordinates': [-122.4413498, 37.7841048734]}",RICHMOND,13049215928160,NONE,22:00,-122.44134980013,37.7841048734205
0 Block of CORNWALL ST,NON-CRIMINAL,2013-09-20T00:00:00.000,Friday,FOUND PROPERTY,130791785,"{u'type': u'Point', u'coordinates': [-122.459705683, 37.7850874105]}",RICHMOND,13079178572000,NONE,19:00,-122.459705682543,37.7850874105266
7000 Block of CALIFORNIA ST,LARCENY/THEFT,2015-07-01T00:00:00.000,Wednesday,PETTY THEFT OF PROPERTY,150573080,"{u'type': u'Point', u'coordinates': [-122.493005812, 37.7834653138]}",RICHMOND,15057308006371,NONE,13:00,-122.493005811614,37.7834653137601
1000 Block of CLEMENT ST,LARCENY/THEFT,2015-07-20T00:00:00.000,Monday,GRAND THEFT FROM LOCKED AUTO,150632357,"{u'type': u'Point', u'coordinates': [-122.470322319, 37.7827315133]}",RICHMOND,15063235706244,NONE,20:00,-122.470322318777,37.7827315132733
1800 Block of CLEMENT ST,LARCENY/THEFT,2015-06-16T00:00:00.000,Tuesday,GRAND THEFT FROM A BUILDING,150535983,"{u'type': u'Point', u'coordinates': [-122.478985986, 37.7822292745]}",RICHMOND,15053598306304,NONE,14:45,-122.478985986075,37.7822292745003
PARKPRESIDIO BL / CROSSOVER DR,OTHER OFFENSES,2015-06-16T00:00:00.000,Tuesday,PROBATION VIOLATION,150524544,"{u'type': u'Point', u'coordinates': [-122.479502312, 37.7712657692]}",RICHMOND,15052454426170,"ARREST, BOOKED",00:50,-122.479502311724,37.771265769233
200 Block of 22ND AV,OTHER OFFENSES,2013-07-10T00:00:00.000,Wednesday,FALSE PERSONATION,130572795,"{u'type': u'Point', u'coordinates': [-122.481793371, 37.7830733544]}",RICHMOND,13057279509027,NONE,09:30,-122.481793370838,37.7830733544214
700 Block of 33RD AV,MISSING PERSON,2015-07-11T00:00:00.000,Saturday,MISSING JUVENILE,150604152,"{u'type': u'Point', u'coordinates': [-122.492903088, 37.7749629648]}",RICHMOND,15060415274010,CLEARED-CONTACT JUVENILE FOR MORE INFO,14:05,-122.492903087989,37.7749629647565
GEARY BL / 11TH AV,OTHER OFFENSES,2013-03-17T00:00:00.000,Sunday,TRAFFIC VIOLATION ARREST,130220875,"{u'type': u'Point', u'coordinates': [-122.469628728, 37.7807680287]}",RICHMOND,13022087565010,"ARREST, BOOKED",00:45,-122.469628728266,37.7807680286658
500 Block of JOHNFKENNEDY DR,LARCENY/THEFT,2013-04-24T00:00:00.000,Wednesday,PETTY THEFT FROM LOCKED AUTO,130335725,"{u'type': u'Point', u'coordinates': [-122.466204668, 37.7725405392]}",RICHMOND,13033572506243,NONE,14:00,-122.466204667893,37.7725405391593
GEARY BL / PARKER AV,OTHER OFFENSES,2013-07-09T00:00:00.000,Tuesday,TRAFFIC VIOLATION ARREST,130562586,"{u'type': u'Point', u'coordinates': [-122.454176558, 37.7815992799]}",RICHMOND,13056258665010,"ARREST, BOOKED",04:20,-122.45417655784,37.7815992798838
0 Block of MASONIC AV,LARCENY/THEFT,2015-09-01T00:00:00.000,Tuesday,PETTY THEFT SHOPLIFTING,150768372,"{u'type': u'Point', u'coordinates': [-122.44733504, 37.782486963]}",RICHMOND,15076837206361,"ARREST, BOOKED",20:55,-122.447335040314,37.7824869629764
8TH AV / FULTON ST,NON-CRIMINAL,2017-03-13T00:00:00.000,Monday,FOUND PROPERTY,170205718,"{u'type': u'Point', u'coordinates': [-122.46588265, 37.7733973258]}",RICHMOND,17020571872000,NONE,05:20,-122.46588265028946,37.773397325817434
1700 Block of DIVISADERO ST,VANDALISM,2015-07-22T00:00:00.000,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",150636268,"{u'type': u'Point', u'coordinates': [-122.439852291, 37.7857393891]}",RICHMOND,15063626828160,NONE,07:20,-122.439852291448,37.7857393890855
CLEMENT ST / 9TH AV,NON-CRIMINAL,2015-09-09T00:00:00.000,Wednesday,LOST PROPERTY,150792199,"{u'type': u'Point', u'coordinates': [-122.46763023, 37.7828011738]}",RICHMOND,15079219971000,NONE,11:30,-122.467630230392,37.7828011737968
600 Block of 41ST AV,FRAUD,2015-05-29T00:00:00.000,Friday,"TRICK AND DEVICE, ATTEMPTED",150477197,"{u'type': u'Point', u'coordinates': [-122.501595008, 37.776437723]}",RICHMOND,15047719710117,NONE,12:00,-122.501595008272,37.7764377230439
800 Block of LA PLAYA ST,WARRANTS,2015-08-23T00:00:00.000,Sunday,WARRANT ARREST,150738256,"{u'type': u'Point', u'coordinates': [-122.509895418, 37.7723131977]}",RICHMOND,15073825663010,"ARREST, BOOKED",17:50,-122.509895418239,37.7723131976814
0 Block of 27TH AV,NON-CRIMINAL,2006-06-23T00:00:00.000,Friday,LOST PROPERTY,060676704,"{u'type': u'Point', u'coordinates': [-122.487520296, 37.7879012073]}",RICHMOND,6067670471000,NONE,20:45,-122.487520295621,37.7879012072558
3100 Block of CLEMENT ST,OTHER OFFENSES,2015-06-04T00:00:00.000,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",150487083,"{u'type': u'Point', u'coordinates': [-122.492925041, 37.7817063076]}",RICHMOND,15048708365016,"ARREST, CITED",04:40,-122.492925040569,37.7817063075528
CLEMENT ST / 7TH AV,NON-CRIMINAL,2018-04-11T00:00:00.000,Wednesday,"LICENSE PLATE, RECOVERED",180267344,"{u'type': u'Point', u'coordinates': [-122.465493608, 37.7828890051]}",RICHMOND,18026734471012,NONE,11:20,-122.46549360831203,37.782889005058735
600 Block of ARGUELLO BL,NON-CRIMINAL,2018-04-11T00:00:00.000,Wednesday,LOST PROPERTY,180270842,"{u'type': u'Point', u'coordinates': [-122.458615665, 37.7786738327]}",RICHMOND,18027084271000,NONE,16:30,-122.45861566484878,37.77867383266712
700 Block of FUNSTON AV,NON-CRIMINAL,2018-04-11T00:00:00.000,Wednesday,FOUND PROPERTY,180267667,"{u'type': u'Point', u'coordinates': [-122.471236194, 37.77407999]}",RICHMOND,18026766772000,NONE,13:00,-122.47123619364676,37.77407998999699
0 Block of PARKER AV,BURGLARY,2018-04-11T00:00:00.000,Wednesday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",180280095,"{u'type': u'Point', u'coordinates': [-122.454627028, 37.7851399842]}",RICHMOND,18028009505011,NONE,08:00,-122.45462702792086,37.78513998422282
0 Block of WILLARDNORTH ST,OTHER OFFENSES,2018-04-11T00:00:00.000,Wednesday,TAMPERING WITH A VEHICLE,180268665,"{u'type': u'Point', u'coordinates': [-122.456874229, 37.7778002855]}",RICHMOND,18026866507100,NONE,17:46,-122.45687422947157,37.77780028547378
ROSELYN TR / TURK ST,ASSAULT,2018-04-11T00:00:00.000,Wednesday,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",180267918,"{u'type': u'Point', u'coordinates': [-122.449766534, 37.7782770878]}",RICHMOND,18026791804138,"ARREST, BOOKED",14:15,-122.44976653385743,37.778277087833835
2700 Block of ANZA ST,BURGLARY,2018-04-11T00:00:00.000,Wednesday,"BURGLARY, FORCIBLE ENTRY",180269607,"{u'type': u'Point', u'coordinates': [-122.477647185, 37.7785354724]}",RICHMOND,18026960705071,NONE,09:00,-122.47764718543017,37.77853547244554
700 Block of 33RD AV,MISSING PERSON,2018-04-11T00:00:00.000,Wednesday,MISSING JUVENILE,180268239,"{u'type': u'Point', u'coordinates': [-122.492903088, 37.7749629648]}",RICHMOND,18026823974010,NONE,14:30,-122.49290308798948,37.774962964756526
5000 Block of GEARY BL,NON-CRIMINAL,2018-04-11T00:00:00.000,Wednesday,SEARCH WARRANT SERVICE,180268778,"{u'type': u'Point', u'coordinates': [-122.473430748, 37.7807259518]}",RICHMOND,18026877875025,"ARREST, BOOKED",19:01,-122.47343074772819,37.78072595180564
1900 Block of DIVISADERO ST,BURGLARY,2018-04-11T00:00:00.000,Wednesday,"BURGLARY, FORCIBLE ENTRY",180266465,"{u'type': u'Point', u'coordinates': [-122.440461678, 37.7875852095]}",RICHMOND,18026646505071,NONE,00:33,-122.44046167821693,37.78758520945148
ROSELYN TR / TURK ST,ASSAULT,2018-04-11T00:00:00.000,Wednesday,BATTERY,180267918,"{u'type': u'Point', u'coordinates': [-122.449766534, 37.7782770878]}",RICHMOND,18026791804134,"ARREST, BOOKED",14:15,-122.44976653385743,37.778277087833835
CABRILLO ST / 46TH AV,LARCENY/THEFT,2018-04-11T00:00:00.000,Wednesday,PETTY THEFT FROM LOCKED AUTO,180266631,"{u'type': u'Point', u'coordinates': [-122.506818965, 37.7734052631]}",RICHMOND,18026663106243,NONE,04:07,-122.50681896500255,37.773405263142436
CLEMENT ST / 7TH AV,OTHER OFFENSES,2018-04-11T00:00:00.000,Wednesday,LOST/STOLEN LICENSE PLATE,180267344,"{u'type': u'Point', u'coordinates': [-122.465493608, 37.7828890051]}",RICHMOND,18026734471010,NONE,11:20,-122.46549360831203,37.782889005058735
5000 Block of GEARY BL,WARRANTS,2018-04-11T00:00:00.000,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,180268778,"{u'type': u'Point', u'coordinates': [-122.473430748, 37.7807259518]}",RICHMOND,18026877862050,"ARREST, BOOKED",19:01,-122.47343074772819,37.78072595180564
BUSH ST / DIVISADERO ST,LARCENY/THEFT,2018-04-11T00:00:00.000,Wednesday,GRAND THEFT FROM LOCKED AUTO,180272519,"{u'type': u'Point', u'coordinates': [-122.440064505, 37.7861779819]}",RICHMOND,18027251906244,NONE,22:00,-122.44006450504597,37.78617798188193
