address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
2000 Block of IRVING ST,VANDALISM,2018-03-14T00:00:00.000,Wednesday,"MALICIOUS MISCHIEF, GRAFFITI",180196436,"{u'type': u'Point', u'coordinates': [-122.479808158, 37.7633885593]}",TARAVAL,18019643628165,NONE,22:30,-122.47980815844207,37.763388559325485
WAWONA ST / 22ND AV,NON-CRIMINAL,2014-10-29T00:00:00.000,Wednesday,FOUND PROPERTY,140915947,"{u'type': u'Point', u'coordinates': [-122.4784975, 37.7373109617]}",TARAVAL,14091594772000,NONE,11:45,-122.478497499558,37.7373109616566
2400 Block of 42ND AV,RUNAWAY,2010-12-26T00:00:00.000,Sunday,RUNAWAY,101192790,"{u'type': u'Point', u'coordinates': [-122.500196577, 37.7410126733]}",TARAVAL,10119279029100,LOCATED,22:30,-122.500196576841,37.7410126733245
19TH AV / EUCALYPTUS DR,ASSAULT,2014-09-07T00:00:00.000,Sunday,BATTERY,140754591,"{u'type': u'Point', u'coordinates': [-122.474855246, 37.7310650253]}",TARAVAL,14075459104134,NONE,18:30,-122.474855245968,37.7310650252983
2400 Block of 47TH AV,ROBBERY,2015-07-16T00:00:00.000,Thursday,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE,150618216,"{u'type': u'Point', u'coordinates': [-122.505693173, 37.7407668363]}",TARAVAL,15061821603454,NONE,08:20,-122.505693172816,37.7407668362612
3200 Block of 20TH AV,LARCENY/THEFT,2013-07-09T00:00:00.000,Tuesday,THEFT OF COMPUTERS OR CELL PHONES,130564667,"{u'type': u'Point', u'coordinates': [-122.475647461, 37.7285280627]}",TARAVAL,13056466706126,NONE,16:30,-122.475647460786,37.7285280627465
WAWONA ST / 37TH AV,WARRANTS,2015-09-06T00:00:00.000,Sunday,ENROUTE TO OUTSIDE JURISDICTION,150781324,"{u'type': u'Point', u'coordinates': [-122.48747105, 37.7369594072]}",TARAVAL,15078132462050,"ARREST, BOOKED",00:03,-122.487471049985,37.7369594071955
2000 Block of 12TH AV,OTHER OFFENSES,2015-08-10T00:00:00.000,Monday,MISCELLANEOUS INVESTIGATION,150700277,"{u'type': u'Point', u'coordinates': [-122.468310271, 37.7499728463]}",TARAVAL,15070027768020,NONE,17:33,-122.468310271448,37.7499728462554
200 Block of WINSTON DR,NON-CRIMINAL,2015-09-05T00:00:00.000,Saturday,LOST PROPERTY,150780069,"{u'type': u'Point', u'coordinates': [-122.477976682, 37.726934635]}",TARAVAL,15078006971000,NONE,13:00,-122.477976682169,37.7269346350353
3700 Block of MORAGA ST,VANDALISM,2015-07-02T00:00:00.000,Thursday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",150578303,"{u'type': u'Point', u'coordinates': [-122.502867536, 37.7549942739]}",TARAVAL,15057830328160,NONE,23:00,-122.502867536264,37.7549942738744
